15;;QUANTIDADE DE FIO NA ESPULA;COR1;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 2;REFERENCIA;;;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 3;Largura;;LARGURA;;
ATAC M10030 100/222 6MM;10 . 4 . 10 . 4 . 14;100 , 222 , 100 , 222 , 100;;;;;;;;;100/222;M10030;6MM;OK;OK;OK;0
ATAC M21020 044/1P 8MM;64;044/1;;;;;;;;;044/1;M21020;8MM;OK;OK;OK;0
FITA M32107 048 12MM;80;48;;;;;;;;;48;M32107;12MM;OK;OK;OK;0
FITA M32107 643 12MM;80;643;;;;;;;;;643;M32107;12MM;OK;OK;OK;0
ATAC M21020 004/1P 8MM;64;004/1;;;;;;;;;004/1;M21020;8MM;OK;OK;OK;0
ATAC 11628 116 7MM;40;116;;;;;;;;;116;11628;7MM;OK;OK;OK;0
ATAC 6ALF 100/038 6MM;1 - 52 - 3;100 , 038 , 100;;;;;;;;;100/038;6ALF;6MM;OK;OK;OK;0
ATAC 3000 158 3MM;16;2;158;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M10030 100/102 6MM;10 . 4 . 10 . 4 . 14;100 , 102 , 100 , 102 , 100;;;;;;;;;100/102;M10030;6MM;OK;OK;OK;0
ATAC M10030 100/319 6MM;10 . 4 . 10 . 4 . 14;100 , 319 , 100 , 319 , 100;;;;;;;;;100/319;M10030;6MM;OK;OK;OK;0
ELASTICO 16410 334 7MM;20;334;;;;;;;;;334;16410;7MM;OK;OK;OK;0
ATAC M10030 278/102 6MM;10 . 4 . 10 . 4 . 14;278 , 102 , 278 , 102 , 278;;;;;;;;;278/102;M10030;6MM;OK;OK;OK;0
FITA MDP 2T 752/1P 15MM;108;752/1P;;;;;;;;;752/1P;MDP;15MM;OK;OK;OK;0
ATAC M10046 102 6MM;46;102;;;;;;;;;102;M10046;6MM;OK;OK;OK;0
ATAC M21020 486/1P 8MM;64;486/1;;;;;;;;;486/1;M21020;8MM;OK;OK;OK;0
ATAC M8081 2001 7MM;40;2001;;;;;;;;;2001;M8081;7MM;OK;OK;OK;0
ATAC 11628 055 7MM;40;55;;;;;;;;;55;11628;7MM;OK;OK;OK;0
ELASTICO 16410 321 7MM;20;321;;;;;;;;;321;16410;7MM;OK;OK;OK;0
ELASTICO 16410 182 7MM;20;182;;;;;;;;;182;16410;7MM;OK;OK;OK;0
ATAC M10030 612/102 6MM;10 . 4 . 10 . 4 . 14;612 , 102 , 612 , 102 , 612;;;;;;;;;612/102;M10030;6MM;OK;OK;OK;0
ATAC 11628 187 7MM;40;187;;;;;;;;;187;11628;7MM;OK;OK;OK;0
ATAC 14163 148/100 6MM;1 . 52 . 3;148 . 100 . 148;;;;;;;;;148/100;14163;6MM;OK;OK;OK;0
ATAC M1308 494 8MM;58;494;;;;;;;;;494;M1308;8mm;OK;OK;OK;0
ATAC M1308 292 8MM;58;292;;;;;;;;;292;M1308;8mm;OK;OK;OK;0
ATAC M1308 486 8MM;58;486;;;;;;;;;486;M1308;8mm;OK;OK;OK;0
FITA MDP 220/1P 13MM;90;220/1P;;;;;;;;;220/1P;MDP;13MM;OK;OK;OK;0
ATAC 14163 312 6MM;46;312;;;;;;;;;312;14163;6MM;OK;OK;OK;0
ATAC 14163 058 6MM;46;58;;;;;;;;;58;14163;6MM;OK;OK;OK;0
ATAC 14163 100 6MM;46;100;;;;;;;;;100;14163;6MM;OK;OK;OK;0
ATAC 11628 248 7MM;40;248;;;;;;;;;248;11628;7MM;OK;OK;OK;0
ATAC 14163 175 6MM;46;175;;;;;;;;;175;14163;6MM;OK;OK;OK;0
ATAC 11628 100 7MM;40;100;;;;;;;;;100;11628;7MM;OK;OK;OK;0
ATAC 3000 102 3MM;16;2;102;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 14163 199/100 6MM;1 . 52 . 3;199 , 100 , 199;;;;;;;;;199/100;14163;6MM;OK;OK;OK;0
ATAC 11628 115 7MM;40;115;;;;;;;;;115;11628;7MM;OK;OK;OK;0
ATAC 11628 243 7MM;40;243;;;;;;;;;243;11628;7MM;OK;OK;OK;0
ATAC 3000 004 3MM;16;2;4;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 11628 270 7MM;40;270;;;;;;;;;270;11628;7MM;OK;OK;OK;0
ATAC 11628 004 7MM;40;4;;;;;;;;;4;11628;7MM;OK;OK;OK;0
ATAC 11628 005 7MM;40;5;;;;;;;;;5;11628;7MM;OK;OK;OK;0
